26-04-10 23:21:43.146 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-10 23:21:43.155 : 训练集大小: 1120
26-04-10 23:21:43.156 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-10 23:21:44.359 : Number of parameter: 3.25M
26-04-10 23:21:44.360 : start training...
26-04-11 06:12:24.118 : epoch:[157/1000], 平均loss: 0.0237
26-04-11 06:14:47.809 : epoch:[158/1000], 平均loss: 0.0239
26-04-11 06:17:11.280 : epoch:[159/1000], 平均loss: 0.0237
26-04-11 06:19:41.323 : epoch:[160/1000], 平均loss: 0.0238
26-04-11 06:23:07.267 : [epoch 160 PSNR: 31.2390 Best: 31.2935]
26-04-11 06:25:37.104 : epoch:[161/1000], 平均loss: 0.0234
26-04-11 06:28:07.139 : epoch:[162/1000], 平均loss: 0.0236
26-04-11 06:30:37.851 : epoch:[163/1000], 平均loss: 0.0235
26-04-11 06:33:00.981 : epoch:[164/1000], 平均loss: 0.0236
26-04-11 06:35:24.669 : epoch:[165/1000], 平均loss: 0.0236
26-04-11 06:37:48.016 : epoch:[166/1000], 平均loss: 0.0238
26-04-11 06:40:11.734 : epoch:[167/1000], 平均loss: 0.0238
26-04-11 06:42:35.332 : epoch:[168/1000], 平均loss: 0.0237
26-04-11 06:45:05.113 : epoch:[169/1000], 平均loss: 0.0238
26-04-11 06:47:35.411 : epoch:[170/1000], 平均loss: 0.0235
26-04-11 06:51:01.690 : [epoch 170 PSNR: 31.2496 Best: 31.2935]
26-04-11 06:53:25.371 : epoch:[171/1000], 平均loss: 0.0237
26-04-11 06:55:49.249 : epoch:[172/1000], 平均loss: 0.0237
26-04-11 06:58:13.063 : epoch:[173/1000], 平均loss: 0.0238
26-04-11 07:00:43.136 : epoch:[174/1000], 平均loss: 0.0237
26-04-11 07:03:13.030 : epoch:[175/1000], 平均loss: 0.0238
26-04-11 07:05:43.295 : epoch:[176/1000], 平均loss: 0.0236
26-04-11 07:08:12.769 : epoch:[177/1000], 平均loss: 0.0237
26-04-11 07:10:42.707 : epoch:[178/1000], 平均loss: 0.0238
26-04-11 07:13:13.178 : epoch:[179/1000], 平均loss: 0.0236
26-04-11 07:15:43.225 : epoch:[180/1000], 平均loss: 0.0237
26-04-11 07:19:09.571 : [epoch 180 PSNR: 31.2327 Best: 31.2935]
26-04-11 07:21:40.282 : epoch:[181/1000], 平均loss: 0.0235
26-04-11 07:24:10.679 : epoch:[182/1000], 平均loss: 0.0237
26-04-11 07:26:40.860 : epoch:[183/1000], 平均loss: 0.0237
26-04-11 07:29:04.968 : epoch:[184/1000], 平均loss: 0.0236
26-04-11 07:31:29.296 : epoch:[185/1000], 平均loss: 0.0238
26-04-11 07:33:52.829 : epoch:[186/1000], 平均loss: 0.0236
26-04-11 07:36:16.642 : epoch:[187/1000], 平均loss: 0.0235
26-04-11 07:38:40.622 : epoch:[188/1000], 平均loss: 0.0236
26-04-11 07:41:04.052 : epoch:[189/1000], 平均loss: 0.0236
26-04-11 07:43:27.673 : epoch:[190/1000], 平均loss: 0.0237
26-04-11 07:46:53.672 : [epoch 190 PSNR: 31.2567 Best: 31.2935]
26-04-11 07:49:17.744 : epoch:[191/1000], 平均loss: 0.0236
26-04-11 07:51:41.193 : epoch:[192/1000], 平均loss: 0.0238
26-04-11 07:54:04.940 : epoch:[193/1000], 平均loss: 0.0235
26-04-11 07:56:35.529 : epoch:[194/1000], 平均loss: 0.0238
26-04-11 07:58:59.226 : epoch:[195/1000], 平均loss: 0.0235
26-04-11 08:01:29.376 : epoch:[196/1000], 平均loss: 0.0235
26-04-11 08:03:52.771 : epoch:[197/1000], 平均loss: 0.0237
26-04-11 08:06:16.739 : epoch:[198/1000], 平均loss: 0.0234
26-04-11 08:08:40.156 : epoch:[199/1000], 平均loss: 0.0236
26-04-11 08:11:03.826 : epoch:[200/1000], 平均loss: 0.0235
26-04-11 08:14:29.817 : [epoch 200 PSNR: 31.2754 Best: 31.2935]
26-04-11 08:16:54.011 : epoch:[201/1000], 平均loss: 0.0236
26-04-11 08:19:17.561 : epoch:[202/1000], 平均loss: 0.0236
26-04-11 08:21:40.976 : epoch:[203/1000], 平均loss: 0.0236
26-04-11 08:24:04.820 : epoch:[204/1000], 平均loss: 0.0238
26-04-11 08:26:31.472 : epoch:[205/1000], 平均loss: 0.0236
26-04-11 08:29:01.401 : epoch:[206/1000], 平均loss: 0.0238
26-04-11 08:31:25.023 : epoch:[207/1000], 平均loss: 0.0237
26-04-11 08:33:48.036 : epoch:[208/1000], 平均loss: 0.0236
26-04-11 08:36:11.130 : epoch:[209/1000], 平均loss: 0.0238
26-04-11 08:38:34.332 : epoch:[210/1000], 平均loss: 0.0236
26-04-11 08:42:00.893 : [epoch 210 PSNR: 31.2211 Best: 31.2935]
26-04-11 08:44:30.734 : epoch:[211/1000], 平均loss: 0.0238
26-04-11 08:47:00.700 : epoch:[212/1000], 平均loss: 0.0236
26-04-11 08:49:30.629 : epoch:[213/1000], 平均loss: 0.0236
26-04-11 08:51:59.273 : epoch:[214/1000], 平均loss: 0.0238
26-04-11 08:54:28.540 : epoch:[215/1000], 平均loss: 0.0236
26-04-11 08:56:51.629 : epoch:[216/1000], 平均loss: 0.0235
26-04-11 08:59:20.850 : epoch:[217/1000], 平均loss: 0.0237
26-04-11 09:01:44.163 : epoch:[218/1000], 平均loss: 0.0234
26-04-11 09:04:07.357 : epoch:[219/1000], 平均loss: 0.0237
26-04-11 09:06:30.464 : epoch:[220/1000], 平均loss: 0.0237
26-04-11 09:09:56.184 : [epoch 220 PSNR: 31.2570 Best: 31.2935]
26-04-11 09:12:19.258 : epoch:[221/1000], 平均loss: 0.0237
26-04-11 09:14:48.332 : epoch:[222/1000], 平均loss: 0.0237
26-04-11 09:17:17.486 : epoch:[223/1000], 平均loss: 0.0237
26-04-11 09:19:46.482 : epoch:[224/1000], 平均loss: 0.0237
26-04-11 09:22:15.966 : epoch:[225/1000], 平均loss: 0.0237
26-04-11 09:24:45.319 : epoch:[226/1000], 平均loss: 0.0238
26-04-11 09:27:09.156 : epoch:[227/1000], 平均loss: 0.0237
26-04-11 09:29:38.365 : epoch:[228/1000], 平均loss: 0.0236
26-04-11 09:32:02.651 : epoch:[229/1000], 平均loss: 0.0234
26-04-11 09:34:25.930 : epoch:[230/1000], 平均loss: 0.0235
26-04-11 09:37:51.818 : [epoch 230 PSNR: 31.2730 Best: 31.2935]
26-04-11 09:37:51.980 : 总训练时间: 10.27小时
